Feature,VIF Score
latitude,10710.808871722986
longitude,10653.86109161978
Temperature,703.049163032482
hour,540.7221807258572
NumberofLanes,376.93239584673756
hour_squared,325.5986921910581
temp_squared,163.62230551989273
road_combo,136.15607715151882
weather_severity,84.29603924640482
road_type_ord,54.50170522645499
road_capacity,46.48961549476514
geohash_prefix_enc,27.62073101466426
temp_x_weather,24.43980716088082
hour_cos,17.25107532045185
lanes_x_weather,13.543156113455279
geohash_target_enc,11.236617514279622
geo_x_roadtype,8.29315244006198
geo_x_weather,7.368361237011395
road_x_weather,5.015255174054903
hour_x_roadtype,4.227561805858392
hour_sin,4.058130792848055
geo_hour_sin,2.4240696940708144
geo_x_peak,1.4940369357667609
